Value,Count,LBA,LF,VALUE_1,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION
1,5956444416,9999,-9999,,2014,,,,,,,,
2,8880851425,9999,0,0,2014,NA,NA,NA,NA,NA,NA,N/A,Background
3,25542096,1,0,0,2014,NA,NA,NA,NA,NA,NA,N/A,Background
4,457459,9999,702,702,2014,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
5,1367141,9999,701,701,2014,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
6,519548,9999,703,703,2014,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
7,3824967,9999,1102,1102,2014,Unknown/Fire Doubtful,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
8,10680838,9999,1101,1101,2014,Unknown/Fire Doubtful,N/A,Low,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
9,5882070,9999,1103,1103,2014,Unknown/Fire Doubtful,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
10,1842870,1,-9999,,2014,,,,,,,,
11,182600,9999,601,601,2014,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
12,71259,9999,603,603,2014,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
13,298459,1,1113,1113,2014,Unknown/Possibly Fire,N/A,High,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
14,105399,1,1102,1102,2014,Unknown/Fire Doubtful,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
15,460292,9999,1111,1111,2014,Unknown/Possibly Fire,N/A,Low,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
16,112351,9999,1112,1112,2014,Unknown/Possibly Fire,N/A,Medium,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
17,271583,9999,1113,1113,2014,Unknown/Possibly Fire,N/A,High,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
18,173501,1,1103,1103,2014,Unknown/Fire Doubtful,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
