Value,Count,LBA,LF,VALUE_1,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION
1,2792054194,9999,-9999,,2011,,,,,,,,
2,8851938361,9999,0,0,2011,NA,NA,NA,NA,NA,NA,N/A,Background
3,4889891,1,-9999,,2011,,,,,,,,
4,23009248,1,0,0,2011,NA,NA,NA,NA,NA,NA,N/A,Background
5,298345,9999,702,702,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints."
6,1358740,9999,701,701,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints."
7,325150,9999,703,703,2011,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints."
8,1259502,9999,1131,1131,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,SMARTFire,"Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point."
9,273630,9999,1132,1132,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,SMARTFire,"Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point."
10,272034,9999,1133,1133,2011,Unknown,N/A,High,MIICA,PAD,dNBR,SMARTFire,"Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point."
11,6595752,9999,1111,1111,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
12,2964293,9999,1113,1113,2011,Unknown,N/A,High,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
13,2124260,9999,1112,1112,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
14,1530536,9999,1102,1102,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
15,2167043,9999,1103,1103,2011,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
16,5513931,9999,1101,1101,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
17,114579,9999,601,601,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints."
18,30398,9999,602,602,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints."
19,491608,1,1113,1113,2011,Unknown,N/A,High,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
20,1308186,1,1111,1111,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
21,381431,1,1112,1112,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
22,3222858,9999,1071,1071,2011,Herbicide,Medium,Low,Refresh Events,,,,"Within Herbicide Refresh Event perimeter, but no change detected by MIICA. dNBR severity typically not used due to low confidence for disturbance type.  Severity default of low."
23,6228,9999,871,871,2011,Herbicide,Low,Low,Refresh Events,MIICA,dNBR,,"Herbicide causality likely, but could be other causality type than assigned (MIICA pixels within Herbicide Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
24,25516,9999,571,571,2011,Herbicide,Medium,Low,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Herbicide Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.
25,1112457,9999,1031,1031,2011,Chemical,Medium,Low,Refresh Events,,,,"Within Chemical Refresh Event perimeter, but no change detected by MIICA. dNBR severity typically not used due to low confidence for disturbance type.  Severity default of low."
26,12530,9999,531,531,2011,Chemical,Medium,Low,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Chemical Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.
27,3911,9999,572,572,2011,Herbicide,Medium,Medium,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Herbicide Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.
28,1817,9999,873,873,2011,Herbicide,Low,High,Refresh Events,MIICA,dNBR,,"Herbicide causality likely, but could be other causality type than assigned (MIICA pixels within Herbicide Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
29,1823,9999,872,872,2011,Herbicide,Low,Medium,Refresh Events,MIICA,dNBR,,"Herbicide causality likely, but could be other causality type than assigned (MIICA pixels within Herbicide Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
30,49508,1,1103,1103,2011,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
31,56647,1,1102,1102,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
32,294112,1,1101,1101,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
33,180752,9999,1121,1121,2011,Unknown,N/A,Low,MIICA,PAD,dNBR,SMARTFire,"Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).  Within SMARTFire buffered (2500m) point."
34,34219,9999,1122,1122,2011,Unknown,N/A,Medium,MIICA,PAD,dNBR,SMARTFire,"Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).  Within SMARTFire buffered (2500m) point."
35,32478,9999,1123,1123,2011,Unknown,N/A,High,MIICA,PAD,dNBR,SMARTFire,"Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).  Within SMARTFire buffered (2500m) point."
36,40235,9999,603,603,2011,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints."
37,140655,9999,1001,1001,2011,Wildland Fire,High,Low,Refresh Events,,,,"Within Wildland Fire Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low."
38,140551,9999,501,501,2011,Wildland Fire,High,Low,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
39,19531,9999,502,502,2011,Wildland Fire,High,Medium,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
40,11295,9999,503,503,2011,Wildland Fire,High,High,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Wildland Fire Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
41,176732,9999,451,451,2011,Mastication,High,Low,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Mastication Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
42,240822,9999,951,951,2011,Mastication,High,Low,Refresh Events,,,,"Within Mastication Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low."
43,10413,9999,452,452,2011,Mastication,High,Medium,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Mastication Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
44,4902,9999,751,751,2011,Mastication,Medium,Low,Refresh Events,dNBR,,,"Mastication causality likely, but could be other causality type than assigned (MIICA pixels within Mastication Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
45,11572,9999,453,453,2011,Mastication,High,High,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Mastication Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
46,1223,9999,752,752,2011,Mastication,Medium,Medium,Refresh Events,dNBR,,,"Mastication causality likely, but could be other causality type than assigned (MIICA pixels within Mastication Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
47,2079,9999,573,573,2011,Herbicide,Medium,High,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Herbicide Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.
48,777261,9999,941,941,2011,Thinning,High,Low,Refresh Events,,,,"Within Thinning Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low."
49,428817,9999,441,441,2011,Thinning,High,Low,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Thinning Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
