Value,Count,LBA,LF,VALUE_1,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION
1,5579383669,9999,-9999,-9999,2020,Fill-NoData,NA,NA,NA,NA,NA,NA,NA
2,8847953979,9999,0,0,2020,NA,NA,NA,NA,NA,NA,NA,Background
3,777871269,9999,-1111,-1111,2020,Fill-Not Mapped,NA,NA,NA,NA,NA,NA,NA
4,10747507,9999,1101,1101,2020,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0). "
5,4424203,9999,1102,1102,2020,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
6,8817824,9999,1103,1103,2020,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
7,21676430,1,0,0,2020,NA,NA,NA,NA,NA,NA,NA,Background
8,1290062,1,1111,1111,2020,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
9,401818,9999,702,702,2020,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
10,1364980,9999,701,701,2020,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
11,538005,9999,703,703,2020,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
12,145668,9999,603,603,2020,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
13,278185,9999,601,601,2020,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
14,116092,9999,602,602,2020,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
15,1101450,9999,21,21,2020,Fire,High,Unburned/Low,BARC,NA,NA,NA,BARC mapped fire.
16,2326952,9999,971,971,2020,Wildfire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
17,954473,9999,22,22,2020,Fire,High,Low,BARC,NA,NA,NA,BARC mapped fire.
18,504732,9999,23,23,2020,Fire,High,Medium,BARC,NA,NA,NA,BARC mapped fire.
19,127633,9999,16,16,2020,Water,High,NA,LANDFIRE Water Mask,NA,NA,NA,Water body or other non-mappable land cover type.
20,2797700,1,-1111,-1111,2020,Fill-Not Mapped,NA,NA,NA,NA,NA,NA,NA
21,230735,9999,1051,1051,2020,Disease,Medium,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Disease LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
22,437100,1,1113,1113,2020,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
23,285958,1,1112,1112,2020,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
24,11478817,9999,1041,1041,2020,Insects,Medium,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Insects LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
25,80629,9999,542,542,2020,Insects,Medium,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insects LANDFIRE Events Geodatabase polygon.
26,15818,9999,841,841,2020,Insects,Low,Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects LANDFIRE Events Geodatabase 500 m buffer). "
27,106973,9999,541,541,2020,Insects,Medium,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insects LANDFIRE Events Geodatabase polygon.
28,10272,9999,543,543,2020,Insects,Medium,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insects LANDFIRE Events Geodatabase polygon.
29,7364,9999,843,843,2020,Insects,Low,High,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Insects causality likely, but could be other causality type than assigned (Image-based change detection pixels within Insects LANDFIRE Events Geodatabase 500 m buffer). "
30,514176,9999,1061,1061,2020,Insects/Disease,Medium,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Insects/Disease LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
31,1988925,1,22,22,2020,Fire,High,Low,BARC,NA,NA,NA,BARC mapped fire.
32,257843,1,21,21,2020,Fire,High,Unburned/Low,BARC,NA,NA,NA,BARC mapped fire.
33,1220877,1,23,23,2020,Fire,High,Medium,BARC,NA,NA,NA,BARC mapped fire.
34,45538,9999,24,24,2020,Fire,High,High,BARC,NA,NA,NA,BARC mapped fire.
35,139509,1,24,24,2020,Fire,High,High,BARC,NA,NA,NA,BARC mapped fire.
36,11632,9999,772,772,2020,Wildfire,Medium,Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildfire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildfire LANDFIRE Events Geodatabase 500 m buffer). "
37,69571,9999,771,771,2020,Wildfire,Medium,Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildfire causality likely, (although other but could be other causality type than assigned (Image-based change detection pixels within Wildfire LANDFIRE Events Geodatabase 500 m buffer). "
