Value,Count,LBA,LF,VALUE_1,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION
1,5956847158,9999,-9999,,2012,,,,,,,,
2,8872168738,9999,0,0,2012,NA,NA,NA,NA,NA,NA,N/A,Background
3,954356,9999,701,701,2012,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints."
4,219644,9999,702,702,2012,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints."
5,219598,9999,703,703,2012,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints."
6,5817909,9999,1101,1101,2012,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
7,1578790,9999,1102,1102,2012,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
8,1992927,9999,1103,1103,2012,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
9,5388342,9999,1111,1111,2012,Unknown,N/A,Low,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
10,2505178,9999,1113,1113,2012,Unknown,N/A,High,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
11,1752638,9999,1112,1112,2012,Unknown,N/A,Medium,MIICA,PAD,dNBR,SMARTFire,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Within SMARTFire buffered (2500m) point."
12,20154970,1,0,0,2012,NA,NA,NA,NA,NA,NA,N/A,Background
13,48791,1,1103,1103,2012,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
14,318152,1,1101,1101,2012,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
15,57440,1,1102,1102,2012,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0)."
16,1095515,9999,1131,1131,2012,Unknown,N/A,Low,MIICA,PAD,dNBR,SMARTFire,"Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Within SMARTFire buffered (2500m) point."
17,277258,9999,601,601,2012,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected, most likely fire related (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints."
