Value,Count,LBA,LF,VALUE_1,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION
1,5579951738,9999,-9999,-9999,2018,Fill-NoData,NA,NA,NA,NA,NA,NA,NA
2,8843987908,9999,0,0,2018,NA,NA,NA,NA,NA,NA,NA,Background
3,778487441,9999,-1111,-1111,2018,Fill-Not Mapped,NA,NA,NA,NA,NA,NA,NA
4,3112958,9999,1051,1051,2018,Disease,Medium,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Disease LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
5,6442,9999,551,551,2018,Disease,Medium,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Disease LANDFIRE Events Geodatabase polygon.
6,4740,9999,552,552,2018,Disease,Medium,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Disease LANDFIRE Events Geodatabase polygon.
7,7908114,9999,1103,1103,2018,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
8,50088,9999,853,853,2018,Disease,Low,High,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Disease LANDFIRE Events Geodatabase 500 m buffer). "
9,4333056,9999,1102,1102,2018,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0)."
10,9916,9999,852,852,2018,Disease,Low,Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Disease LANDFIRE Events Geodatabase 500 m buffer). "
11,16023,9999,851,851,2018,Disease,Low,Low,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Disease causality likely, but could be other causality type than assigned (Image-based change detection pixels within Disease LANDFIRE Events Geodatabase 500 m buffer). "
12,23044,9999,553,553,2018,Disease,Medium,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Disease LANDFIRE Events Geodatabase polygon.
13,10352254,9999,1101,1101,2018,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0). "
14,629261,9999,703,703,2018,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
15,354822,9999,702,702,2018,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
16,1062804,9999,701,701,2018,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality likely, but unknown (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status GAP Status equals 3 or 4). "
17,24594673,1,0,0,2018,NA,NA,NA,NA,NA,NA,NA,Background
18,1531383,1,1111,1111,2018,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
19,350939,1,1113,1113,2018,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
20,95689,9999,603,603,2018,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
21,201694,9999,601,601,2018,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
22,72041,9999,602,602,2018,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),NA,"Image-based change detection identified disturbance.  Anthropogenic causality not expected (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2)."
23,4178914,9999,961,961,2018,Other Mechanical,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Other Mechanical LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
24,2181528,1,-1111,-1111,2018,Fill-Not Mapped,NA,NA,NA,NA,NA,NA,NA
25,1086656,9999,971,971,2018,Wildfire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
26,325541,1,1112,1112,2018,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500 m buffer, PAD GAP Status equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
27,29971,1,1123,1123,2018,Unknown,NA,High,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
28,100982,1,1121,1121,2018,Unknown,NA,Low,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
29,24334,1,1122,1122,2018,Unknown,NA,Medium,Image-based change detection,Protected Area Database GAP Status,dNBR (Std Dev Breaks),Burned Area Essential Climate Product,"Image-based change detection identified change (outside LANDFIRE Events Geodatabase 500m buffer, PAD GAP Status equals 1 or 2).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >=  95%)."
30,16129724,9999,1041,1041,2018,Insects,Medium,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Insects LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
31,90239,9999,541,541,2018,Insects,Medium,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Insects LANDFIRE Events Geodatabase polygon.
32,475489,1,971,971,2018,Wildfire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildfire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
33,68166,1,472,472,2018,Wildfire,High,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
34,136972,1,473,473,2018,Wildfire,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
35,86768,9999,473,473,2018,Wildfire,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
36,71898,9999,471,471,2018,Wildfire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
37,90838,1,471,471,2018,Wildfire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
38,49214,9999,472,472,2018,Wildfire,High,Medium,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildfire LANDFIRE Events Geodatabase polygon.
39,1858,9999,802,802,2018,Wildland Fire,Medium,Medium,Image-based change detection,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,"Wildland Fire causality likely, but could be other causality type than assigned (Image-based change detection pixels within Wildland Fire LANDFIRE Events Geodatabase 500 m buffer). "
40,148548,9999,1001,1001,2018,Wildland Fire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
41,35322,1,1001,1001,2018,Wildland Fire,High,Low,LANDFIRE Events Geodatabase,dNBR (Std Dev Breaks),NA,NA,Wildland Fire LANDFIRE Events Geodatabase polygon. No change from Landsat image-based change detection or low confidence in severity assignment so default severity of low.
42,8406,1,503,503,2018,Wildland Fire,High,High,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
43,5589,9999,501,501,2018,Wildland Fire,High,Low,LANDFIRE Events Geodatabase,Image-based change detection,dNBR (Std Dev Breaks),NA,Image-based change detection identified disturbance within Wildland Fire LANDFIRE Events Geodatabase polygon.
44,5611966,9999,12,12,2018,Fire,High,Low,MTBS,NA,NA,NA,MTBS mapped fire.
45,4016161,9999,11,11,2018,Fire,High,Unburned/Low,MTBS,NA,NA,NA,MTBS mapped fire.
46,98168,9999,16,16,2018,Water,High,NA,LANDFIRE Water Mask,NA,NA,NA,Water body or other non-mappable land cover type.
47,121630,9999,31,31,2018,Fire,High,Unburned/Low,RAVG,NA,NA,NA,RAVG mapped fire.
48,249862,9999,21,21,2018,Fire,High,Unburned/Low,BARC,NA,NA,NA,BARC mapped fire.
49,470095,9999,13,13,2018,Fire,High,Medium,MTBS,NA,NA,NA,MTBS mapped fire.
50,1882,9999,32,32,2018,Fire,High,Low,RAVG,NA,NA,NA,RAVG mapped fire.
51,130853,9999,15,15,2018,Fire,High,Increased Green,MTBS,NA,NA,NA,MTBS mapped fire.
52,7242327,1,13,13,2018,Fire,High,Medium,MTBS,NA,NA,NA,MTBS mapped fire.
53,2594715,1,14,14,2018,Fire,High,High,MTBS,NA,NA,NA,MTBS mapped fire.
54,38706,9999,22,22,2018,Fire,High,Low,BARC,NA,NA,NA,BARC mapped fire.
55,16993699,1,12,12,2018,Fire,High,Low,MTBS,NA,NA,NA,MTBS mapped fire.
56,1283437,1,11,11,2018,Fire,High,Unburned/Low,MTBS,NA,NA,NA,MTBS mapped fire.
