Value,Count,LBA,LF,VALUE_1,DIST_YEAR,DIST_TYPE,TYPE_CONFIDENCE,SEVERITY,SOURCE1,SOURCE2,SOURCE3,SOURCE4,DESCRIPTION
1,5956565936,9999,-9999,,2013,,,,,,,,
2,8882674945,9999,0,0,2013,NA,NA,NA,NA,NA,NA,N/A,Background
3,1721350,1,-9999,,2013,,,,,,,,
4,679550,9999,703,703,2013,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
5,491649,9999,702,702,2013,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
6,1510565,9999,701,701,2013,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality likely, but unknown (outside Refresh Event 500m buffer, PAD GAP Status equals 3 or 4).  Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
7,59595,9999,602,602,2013,Unknown,N/A,Medium,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
8,76010,9999,603,603,2013,Unknown,N/A,High,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
9,240286,9999,601,601,2013,Unknown,N/A,Low,MIICA,PAD,dNBR,,"MIICA identified disturbance.  Anthropogenic causality not expected (outside Refresh Event 500m buffer, PAD GAP Status equals 1 or 2).   Severity determined by dNBR standard deviation breakpoints.  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
10,3836972,9999,1102,1102,2013,Unknown/Fire Doubtful,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
11,5443934,9999,1103,1103,2013,Unknown/Fire Doubtful,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
12,11442135,9999,1101,1101,2013,Unknown/Fire Doubtful,N/A,Low,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
13,31632302,1,0,0,2013,NA,NA,NA,NA,NA,NA,N/A,Background
14,146655,1,1103,1103,2013,Unknown/Fire Doubtful,N/A,High,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
15,75624,1,1102,1102,2013,Unknown/Fire Doubtful,N/A,Medium,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
16,133704,1,1101,1101,2013,Unknown/Fire Doubtful,N/A,Low,MIICA,PAD,dNBR,,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) below burn/no burn threshold (95%)."
17,237760,1,1113,1113,2013,Unknown/Possibly Fire,N/A,High,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
18,222385,9999,1113,1113,2013,Unknown/Possibly Fire,N/A,High,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
19,442015,1,1111,1111,2013,Unknown/Possibly Fire,N/A,Low,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
20,397612,9999,1111,1111,2013,Unknown/Possibly Fire,N/A,Low,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
21,119831,1,1112,1112,2013,Unknown/Possibly Fire,N/A,Medium,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
22,108357,9999,1112,1112,2013,Unknown/Possibly Fire,N/A,Medium,MIICA,PAD,dNBR,BAECV,"MIICA detected change, but outside Refresh Event 500 m buffer, PAD equals 0).  Burned Area Essential Climate Variable (BAECV) indicates burned condition (BAECV >= 95%)."
23,678692,9999,1031,1031,2013,Chemical,Medium,Low,Refresh Events,,,,"Within Chemical Refresh Event perimeter, but no change detected by MIICA. dNBR severity typically not used due to low confidence for disturbance type.  Severity default of low."
24,1829664,9999,461,461,2013,Other Mechanical,High,Low,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Other Mechanical Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
25,2731680,9999,961,961,2013,Other Mechanical,High,Low,Refresh Events,,,,"Within Other Mechanical Refresh Event perimeter, but no change detected by MIICA or dNBR. Severity default of low."
26,8142,9999,831,831,2013,Chemical,Low,Low,Refresh Events,MIICA,dNBR,,"Chemical causality likely, but could be other causality type than assigned (MIICA pixels within Chemical Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
27,3466,9999,531,531,2013,Chemical,Medium,Low,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Chemical Refresh Event perimeter (lower confidence in delineation).  Severity determined by dNBR standard deviation breakpoints.
28,1562,9999,832,832,2013,Chemical,Low,Medium,Refresh Events,MIICA,dNBR,,"Chemical causality likely, but could be other causality type than assigned (MIICA pixels within Chemical Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
29,212880,9999,462,462,2013,Other Mechanical,High,Medium,Refresh Events,MIICA,dNBR,,MIICA identified disturbance within Other Mechanical Refresh Event perimeter.  Severity determined by dNBR standard deviation breakpoints.
30,50215,9999,761,761,2013,Other Mechanical,Medium,Low,Refresh Events,dNBR,,,"Other Mechanical causality likely, but could be other causality type than assigned (MIICA pixels within Development Refresh Event 500 m buffer).  Severity determined by dNBR standard deviation breakpoints."
